#chrom	txStart	txEnd	exonStarts	exonEnds	name2
chr1	1950767	1962192	1950767,1956380,1956772,1956956,1959015,1959593,1960549,1960989,1961421,	1950930,1956493,1956840,1957177,1959098,1959731,1960705,1961201,1962192,	GABRD
chr3	97705526	97754148	97705526,97711695,97720458,97726607,97727799,97731187,97736498,97744410,97753706,97754033,	97705826,97711892,97720611,97726748,97727882,97731411,97736566,97744523,97753833,97754148,	GABRR3
chr3	97705526	97754148	97705526,97711695,97720458,97726607,97727799,97731187,97736498,97744410,97753706,97754033,	97705826,97711892,97720611,97726748,97727882,97731411,97736566,97744523,97753833,97754148,	GABRR3
chr4	46251580	46392056	46251580,46263942,46305476,46307584,46312189,46314512,46334631,46388090,46390652,46391751,	46252621,46264145,46305629,46307728,46312272,46314733,46334699,46388206,46390733,46392056,	GABRA2
chr4	46920916	46996424	46920916,46966986,46973099,46976248,46979077,46979426,46981047,46994844,46995355,	46930772,46967246,46973252,46976392,46979160,46979647,46981115,46994963,46996424,	GABRA4
chr4	47033294	47428447	47033294,47033930,47034433,47163265,47322143,47405334,47405575,47408698,47427690,	47033748,47034022,47034501,47163486,47322226,47405472,47405728,47408943,47428447,	GABRB1
chr4	46251580	46391396	46251580,46263942,46305476,46307584,46312189,46314512,46334631,46388090,46390652,	46252621,46264145,46305629,46307728,46312272,46314733,46334699,46388206,46391396,	GABRA2
chr4	46920916	46995522	46920916,46966986,46973099,46976248,46979077,46979426,46981047,46994844,46995423,	46930772,46967246,46973252,46976392,46979160,46979647,46981115,46994963,46995522,	GABRA4
chr4	46920916	46995522	46920916,46966986,46976248,46979077,46979426,46981047,46994844,46995423,	46930772,46967246,46976392,46979160,46979647,46981115,46994963,46995522,	GABRA4
chr4	46251580	46392056	46251580,46258211,46263942,46305476,46307584,46312189,46314512,46388090,46390652,46391751,	46252621,46258391,46264145,46305629,46307728,46312272,46314733,46388206,46390733,46392056,	GABRA2
chr4	46037786	46126082	46037786,46053440,46060233,46060501,46066457,46067380,46086002,46099217,46125826,	46043271,46053655,46060386,46060639,46066540,46067601,46086070,46099366,46126082,	GABRG1
chr5	161274196	161326965	161274196,161275196,161277801,161281163,161292726,161300122,161302565,161309563,161317903,161322671,161324116,	161274417,161275428,161277890,161281276,161292794,161300343,161302648,161309707,161318056,161322874,161326965,	GABRA1
chr5	161112657	161129598	161112657,161113235,161113941,161115954,161116259,161116641,161117206,161118946,161128503,	161113033,161113354,161114009,161116175,161116342,161116785,161117359,161119206,161129598,	GABRA6
chr5	160715435	160975130	160715435,160757889,160761758,160763638,160837980,160886629,160972232,160973327,160973572,160975064,	160721435,160758134,160761911,160763776,160838063,160886850,160972300,160973419,160973801,160975130,	GABRB2
chr5	161494647	161582545	161494647,161520833,161522500,161524643,161528240,161530894,161569169,161576113,161580098,	161495112,161520985,161522568,161524864,161528323,161531032,161569322,161576319,161582545,	GABRG2
chr5	161274684	161326965	161274684,161275196,161277801,161281163,161292726,161300122,161302565,161309563,161317903,161322671,161324116,	161274792,161275428,161277890,161281276,161292794,161300343,161302648,161309707,161318056,161322874,161326965,	GABRA1
chr5	161274939	161326965	161274939,161277801,161281163,161292726,161300122,161302565,161309563,161317903,161322671,161324116,	161275428,161277890,161281276,161292794,161300343,161302648,161309707,161318056,161322874,161326965,	GABRA1
chr5	161275541	161326965	161275541,161277801,161281163,161292726,161300122,161302565,161309563,161317903,161322671,161324116,	161275618,161277890,161281276,161292794,161300343,161302648,161309707,161318056,161322874,161326965,	GABRA1
chr5	161277702	161326965	161277702,161281163,161292726,161300122,161302565,161309563,161317903,161322671,161324116,	161277890,161281276,161292794,161300343,161302648,161309707,161318056,161322874,161326965,	GABRA1
chr5	170210722	170241050	170210722,170215577,170216132,170221234,170222211,170224469,170232719,170235603,170238959,	170210878,170215672,170216251,170221302,170222429,170224552,170232857,170235756,170241050,	GABRP
chr5	170210722	170241050	170210722,170215577,170216132,170221234,170222211,170224469,170232719,170235603,170236571,170238959,	170210878,170215672,170216251,170221302,170222429,170224552,170232857,170235756,170236759,170241050,	GABRP
chr5	160715435	160975130	160715435,160753374,160757889,160761758,160763638,160837980,160886629,160972232,160973327,160973572,160975064,	160721435,160753488,160758134,160761911,160763776,160838063,160886850,160972300,160973419,160973801,160975130,	GABRB2
chr5	161494647	161582545	161494647,161520833,161522500,161524643,161528240,161529559,161530894,161569169,161576113,161578735,161580098,	161495112,161520985,161522568,161524864,161528323,161529679,161531032,161569322,161576319,161578759,161582545,	GABRG2
chr5	161494647	161582545	161494647,161520833,161522500,161524643,161528240,161530894,161569169,161576113,161578735,161580098,	161495112,161520985,161522568,161524864,161528323,161531032,161569322,161576319,161578759,161582545,	GABRG2
chr6	89887222	89927496	89887222,89890010,89891623,89895028,89899883,89907738,89909080,89910877,89926919,	89888782,89890207,89891776,89895169,89899966,89907962,89909148,89910984,89927496,	GABRR1
chr6	89887222	89927496	89887222,89890010,89891623,89895028,89899883,89907738,89909080,89910877,89913153,89914314,89926919,	89888782,89890207,89891776,89895169,89899966,89907962,89909148,89910984,89913207,89914413,89927496,	GABRR1
chr6	89887222	89941007	89887222,89890010,89891623,89895028,89899883,89907738,89909080,89910877,89913153,89914314,89930993,89940934,	89888782,89890207,89891776,89895169,89899966,89907962,89909148,89910984,89913207,89914413,89931165,89941007,	GABRR1
chr6	89887222	89927496	89887222,89890010,89891623,89895028,89899883,89907738,89909080,89910877,89913153,89926919,	89888782,89890207,89891776,89895169,89899966,89907962,89909148,89910984,89913204,89927496,	GABRR1
chr6	89966839	90025018	89966839,89974130,89975331,89977397,89977732,89978729,89981373,90009477,90024771,	89967700,89974327,89975484,89977538,89977815,89978953,89981441,90009584,90025018,	GABRR2
chrX	151335633	151619831	151335633,151358201,151366104,151376472,151393234,151424249,151453139,151514052,151532902,151619617,	151337035,151358413,151366257,151376616,151393317,151424470,151453207,151514174,151533068,151619831,	GABRA3
chrX	151121595	151143151	151121595,151123839,151124179,151128310,151129754,151130894,151138140,151138656,151143041,	151123556,151124039,151124332,151128448,151129837,151131115,151138208,151138874,151143151,	GABRE
chrX	151806636	151821825	151806636,151808838,151813987,151815408,151817713,151818204,151818890,151819988,151821003,	151806805,151808927,151814055,151815629,151817796,151818342,151819043,151820245,151821825,	GABRQ
chr15	27111865	27194357	27111865,27113875,27114321,27125992,27128312,27128483,27159949,27182331,27185071,27188361,27193080,	27112258,27113940,27114481,27126114,27128380,27128704,27160032,27182475,27185224,27188573,27194357,	GABRA5
chr15	26788693	27018223	26788693,26806078,26812727,26825465,26828478,26866460,27017548,27017827,27018029,	26793281,26806323,26812880,26825603,26828561,26866681,27017616,27017919,27018223,	GABRB3
chr15	27112272	27194357	27112272,27113875,27114321,27125992,27128312,27128483,27159949,27182331,27185071,27188361,27193080,	27112531,27113940,27114481,27126114,27128380,27128704,27160032,27182475,27185224,27188573,27194357,	GABRA5
chr15	26788693	26961912	26788693,26806078,26812727,26825465,26828478,26866460,26961760,	26793281,26806323,26812880,26825603,26828561,26866681,26961912,	GABRB3
chr15	26788693	26874325	26788693,26806078,26812727,26825465,26828478,26866460,26874123,	26793281,26806323,26812880,26825603,26828561,26866681,26874325,	GABRB3
chr15	27216428	27726479	27216428,27222148,27271900,27571955,27573952,27725795,	27216735,27222297,27271968,27572176,27574035,27726479,	GABRG3
chr15	26788693	27018223	26788693,26806078,26812727,26825465,26828478,26866460,26887579,27017548,27017827,27018029,	26793281,26806323,26812880,26825603,26828561,26866681,26887675,27017616,27017919,27018223,	GABRB3
chr15	26788693	27018935	26788693,26806078,26812727,26825465,26828478,26866460,27017548,27017827,27018791,	26793281,26806323,26812880,26825603,26828561,26866681,27017616,27017919,27018935,	GABRB3
chr15	27216428	27778373	27216428,27222148,27271900,27571955,27573952,27725795,27765117,27772578,27773078,27777745,	27216735,27222297,27271968,27572176,27574035,27725933,27765270,27772775,27773138,27778373,	GABRG3
chr15	26860443	26874325	26860443,26860920,26866460,26869354,26869911,26870578,26874123,	26860568,26861207,26866681,26869778,26870132,26870681,26874325,	GABRB3
